Age,Estimated Income,Credit Card Balance,Bank Loans,Superannuation Savings,Saving Accounts,Properties Owned,Default_Risk,Debt_to_Income_Ratio,Savings_to_Debt_Ratio
79,338383.13,3505.86,1565513.72,57267.05,144603.76,1,1,4.636813838798642,0.1286603965385846
29,198553.59,5581.31,414518.57,20851.74,570935.88,3,1,2.1158009784663174,1.4086797913872495
52,190119.93,3525.21,527884.11,47110.05,23741.9,1,0,2.7951268444081583,0.13332814086109585
68,147956.79,2977.86,701005.58,52216.52,279467.92,3,0,4.758034017904821,0.47115308400850453
41,91071.75,8062.65,677123.94,33111.54,147703.3,0,0,7.523590904973276,0.2638910024625519
70,96545.37,3386.45,1104753.03,23191.74,252097.54,3,0,11.477914269736601,0.2484245318788463
32,63765.0,2644.75,1012372.67,11354.0,478805.43,3,0,15.918096447894614,0.4829069308909684
47,191715.4,1296.45,402401.84,31923.72,121257.32,0,0,2.105716546505915,0.37944342185987
83,218312.27,5886.56,1705090.3875000002,21480.88,402363.14,1,1,7.837291726662914,0.2477203289611656
24,157167.47,1909.3,597244.53,31498.25,51169.56,3,0,3.8122000055100465,0.13797403585981272
84,101929.59,1163.81,614181.3,13019.3,373280.79,3,0,6.036962475763908,0.6277769270370457
29,40985.49,646.13,358194.38,19729.5,37333.12,1,0,8.755306085153551,0.1590190053542022
85,109218.7,2767.3,587928.77,6820.8,68530.24,2,0,5.408378510273424,0.12756291477795886
51,174258.52,5185.78,648432.67,34182.52,198783.78,3,1,3.750855051448848,0.3564249809273576
59,74059.23,1361.56,374815.99,14702.6,124336.41,2,0,5.079414814331718,0.3696090858981726
84,158874.14,2366.28,261364.76,38794.28,46915.77,0,0,1.659999796064986,0.32498914428447895
69,71958.9,2756.83,124510.61,13998.9,81093.97,1,0,1.7686129165398583,0.7471834336933807
17,189074.19,4138.78,291504.55,13258.42,162184.12,3,1,1.5636366338525634,0.5934243352476944
78,74408.69,494.76,24949.1,28689.62,61145.05,2,0,0.34194742576438314,3.530562557624605
25,447928.06,3074.93,841124.62,42888.81,457697.21,3,1,1.8846766375832764,0.5929704973539759
61,309939.21,9451.63625,1198037.84,51303.6,145258.32,3,1,3.89589131446131,0.1627854826734912
61,151227.36,397.4,455965.07,25749.75,79800.03,2,0,3.017724239846547,0.2312844627989177
48,401412.67,3172.65,1511484.73,48428.15,399309.83,3,1,3.773317319555459,0.29560327656194
35,263452.26,3107.16,0.0,17416.8,507980.0,2,0,0.011794015355951017,169.0378873674457
21,404760.25,4733.35,1022752.85,41342.34,145323.96,0,1,2.538505695655638,0.18167262813590282
23,122608.89,226.91,248995.76,31945.22,54616.36,2,0,2.0326639446780734,0.3473248748804638
24,72688.95,2577.26,44247.13,5604.02,24784.67,1,0,0.6441748023599185,0.6489788979867546
50,96295.61,1323.88,311472.63,23986.83,60174.6,2,0,3.248294600345748,0.2690604218684477
20,127182.69,3142.39,92065.37,10617.09,567065.49,2,0,0.7485905511198103,6.067536012442552
49,86309.17,954.95,184129.95,19088.42,71888.15,2,0,2.1444407355556776,0.49153701065289135
42,39039.16,1286.88,429795.64,35780.3,253034.18,2,0,11.042310336595357,0.6699733731412418
76,302021.94,825.52,1259346.41,5907.2,137282.76,1,0,4.172451610634645,0.11362723051033959
66,274381.44,4251.72,665570.32,26955.98,424485.68,2,0,2.4412075394020816,0.673971531346548
42,122710.9,4783.55,763332.61,20009.16,76867.33,2,0,6.259559338249496,0.12612202284349436
29,120617.67,1932.43,575222.32,15025.68,122324.98,2,0,4.784993359596483,0.23797850060403972
22,108847.47,2935.23,129402.67,7393.47,294010.15,3,0,1.2158105282557325,2.2775134144231215
36,93309.6,937.31,695931.26,22124.7,168820.58,3,0,7.468348058506306,0.27400433053777906
35,131076.39,6092.06,256672.86,13731.44,159730.79,2,1,2.004670101152465,0.6601397548053417
84,83441.32,862.35,322636.11,2173.28,133514.34,1,0,3.8769576032593918,0.4194369288900823
48,359386.37,2420.87,1546378.41,4756.08,163201.13,2,1,4.309565997174573,0.10844342693429782
25,113118.57,1536.54,641964.66,12160.5,349792.54,3,0,5.688731744045208,0.5624736636487023
20,110102.32,1513.51,37756.8,12255.54,91289.86,1,0,0.35667104925672777,2.6366678371564376
79,343198.66,4049.93,140800.99,27522.88,306509.38,0,1,0.42206143811866864,2.3060257675562745
24,139310.32,2109.05,252780.62,37632.9,26792.46,2,0,1.8296538978591104,0.2527568388438855
32,89269.83,329.22,32037.08,18376.2,152113.65,3,0,0.3625670621306213,5.267348527680714
76,75161.91,2286.76,557461.27,13911.24,11901.73,3,0,7.447229986571656,0.046115256331931476
40,124589.37,468.2,124046.99,23297.54,129413.46,0,0,0.9994046041006549,1.2264348917197032
43,435632.17,3008.92,424214.25,37078.86,56978.82,0,1,0.9806970178533876,0.220160015759408
71,88221.82,5284.59,918742.14,12126.95,156643.72,3,0,10.473902374718634,0.18264675888027734
29,48788.15,872.32,1099020.48,30341.94,337404.66,1,0,22.54426126016256,0.3343473706279642
66,324199.84,365.06,557907.89,27648.39,74814.01,3,1,1.722002546330683,0.1835342666445389
61,282658.49,9451.63625,436116.47,30651.24,227346.98,1,0,1.5763478615130222,0.5790307639848853
24,274736.56,641.87,702014.71,45424.8,139270.9,0,0,2.557564890526401,0.26285306706575345
23,147339.86,3638.15,245108.44,27029.67,53879.38,0,0,1.6882504842885016,0.3252656638804018
48,81683.44,2171.31,418824.88,23580.9,73686.1,1,0,5.153996819918456,0.23103954684353117
26,76005.3,5570.9,495739.92,40640.6,103025.56,0,0,6.595735034267347,0.2865804361046185
70,206026.56,2470.82,818737.34,3094.2,357177.38,3,0,3.9859334641125876,0.43870867197828145
85,288440.81,1909.77,397326.42,5937.12,263367.53,2,0,1.3841182528921618,0.6745480049090617
37,57825.32,3151.39,627597.93,47025.14,328186.19,2,0,10.907839679918764,0.5948650648326266
31,412837.04,7104.71,927808.29,62194.6,428967.97,0,1,2.2646054239706785,0.5253558830010032
85,130272.52,1928.39,230291.87,20605.37,32508.2,0,0,1.7825728710859359,0.22871967019729372
37,360800.21,526.42,338782.79,18238.48,8748.93,2,1,0.9404351787932717,0.07953609766119328
71,35234.55,3792.07,144620.71,15378.9,257073.42,0,0,4.212137802242401,1.835761611893451
72,95828.94,1871.16,312519.52,9459.79,236464.93,0,0,3.280748800936335,0.7822240079635695
35,146788.5,2397.24,122986.19,39834.5,223767.04,3,0,0.8541774730309255,2.1023466789297522
56,70386.82,4733.41,1229595.68,49752.78,86670.02,3,0,17.536366751616278,0.11052375787095979
19,54632.7,833.75,60365.86,6161.4,76916.9,3,0,1.1202010883591695,1.3574750317031152
26,390608.46,6590.61,1303392.78,51660.0,36534.23,2,1,3.3536994820849504,0.06732464193714553
34,209330.69,2424.38,469557.5,12650.79,105814.22,2,0,2.2547189807667474,0.2509942945388189
75,112683.73,5247.15,832861.83,5161.2,173348.68,1,0,7.437710661512536,0.21299099671859295
68,231396.28,757.41,113522.57,40382.64,251867.45,1,0,0.49387129300436466,2.557294223413205
62,49986.85,3557.99,181563.18,19271.46,38070.41,2,0,3.703397393514494,0.30975150086021574
83,179434.37,3449.09,391545.22,4757.76,95325.22,0,0,2.201330269111765,0.25337764136996965
30,111485.6,1768.32,109518.69,15780.76,190855.05,1,0,0.998218693714704,1.8567661511783702
51,131121.99,4267.35,738628.08,33075.99,352364.04,1,0,5.6656814772259025,0.5188341395044798
32,224722.41,690.58,1398446.98,19388.05,69349.78,1,0,6.22607046622542,0.06342318948024704
22,82651.24,1039.59,172491.89,9350.64,229271.8,2,0,2.099562934566983,1.3750880526803972
58,21090.76,1386.56,149157.79,4114.32,34044.92,2,0,7.137929121567929,0.253473388583573
31,337249.36,2617.08,484229.73,19296.7,413153.83,1,1,1.4435811234749267,0.8882663557632108
57,107655.52,1045.18,624915.32,38404.02,428694.08,0,0,5.814476582343385,0.7462089920865741
64,224839.07,3693.38,816590.42,4873.51,446849.76,0,1,3.648315214966865,0.550690772278116
82,84089.47,1815.03,237269.07,8018.4,20010.16,2,0,2.8432109275989017,0.11723256698138025
84,246327.38,2661.56,878592.94,28068.0,39677.92,0,1,3.5775742834596787,0.0768743230538703
24,157380.5,691.74,1017636.33,4309.76,170534.33,2,0,6.47048439927437,0.17169704288221882
19,94278.19,628.53,135261.87,19980.75,676745.8987499999,2,1,1.4413768444218116,5.127084191862031
48,439472.87,917.32,858150.92,36385.95,312120.17,0,1,1.9547696766810656,0.405678732019319
17,309468.8,1974.36,801630.51,24993.15,240779.32,1,0,2.5967233853622727,0.33072489876162803
61,384142.67,4193.47,572900.89,34698.56,197156.08,1,1,1.502291739680989,0.4017614004035659
73,107365.62,2695.4,172396.97,14408.16,75465.6,2,0,1.6308048144275606,0.5132904803876926
28,128148.71,1332.05,121833.56,12681.24,14641.83,3,0,0.9611147080606586,0.22183828880246034
81,208965.85,5767.77,511241.45,53907.62,67066.94,1,1,2.4741325915215335,0.23398872076455277
74,50054.16,389.45,276227.71,4521.9,55999.93,2,0,5.526357050043393,0.21879196217630828
49,29125.26,4248.3,723573.68,28117.39,53376.59,2,0,24.989372798732102,0.11196950665119146
74,60970.29,707.11,196012.67,18932.48,120675.2,1,0,3.2264858835344232,0.7096742906367085
43,133180.88,4027.35,510992.7,27623.46,359475.43,2,0,3.867071985107772,0.7516176086394916
50,71186.04,4363.01,1267067.32,13756.86,31743.84,2,1,17.860669451482345,0.03578698977002556
74,111956.47,1971.89,556782.54,24675.67,56705.34,1,0,4.990818574397711,0.1456469246303342
83,175192.75,2620.99,777960.39,50740.24,657266.86,3,0,4.455557550184012,0.9070241887858139
57,148469.07,513.37,96667.9,43771.52,107171.23,3,0,0.6545556593033147,1.553192264391437
40,288372.7,4381.44,1369221.0,7674.8,192757.29,3,0,4.7632887579164045,0.14591699770350022
21,266530.81,447.05,467686.8,21990.3,388708.6,2,0,1.7563967557821927,0.8773089634322246
27,78054.21,2462.62,443193.19,18705.0,335137.27,0,0,5.7095678759672275,0.7939792729746462
56,189555.93,1723.34,457331.9,22685.02,72986.86,3,1,2.42174032751178,0.20840993251720094
82,58989.7,1451.77,238669.58,11962.08,266617.93,0,0,4.070564013717648,1.1601586024791113
69,192727.18,4306.71,703469.39,19953.7,243373.43,3,0,3.6724249272987857,0.3720481066708714
64,258577.76,1672.26,372833.03,37668.72,379375.57,1,0,1.4483275359798926,1.1135842070903534
38,456100.04,2551.95,348975.03,57323.63,265160.06,3,1,0.7707234141001172,0.9173770178976933
83,238781.13,4957.84,916634.56,38376.42,113996.78,2,0,3.85956964019728,0.1653366875240209
41,339802.57,5457.24,389702.54,59287.13,63336.39,0,1,1.1629099214876448,0.3103129819715408
40,138500.69,3299.68,777274.72,31907.84,676745.8987499999,0,1,5.63588816777736,0.9078607124308553
36,385028.64,3364.86,926133.76,30937.6,352549.66,1,1,2.414102545722313,0.4125738749629612
50,147230.17,116.05,431461.64,19263.88,67878.64,0,0,2.931312855238841,0.20191571553266452
68,131962.8,4450.75,547003.72,10259.67,458435.74,0,0,4.178863058377058,0.8499243102983456
50,173052.06,5.74,85486.26,35318.52,76154.41,0,0,0.49402474607930125,1.3038837097774085
31,144729.34,9300.76,546156.31,30974.79,80390.78,1,0,3.8379023216716117,0.20049320734506565
79,259866.83,1128.64,442798.14,29786.74,163445.99,2,0,1.708285663083665,0.43527965292012133
30,277568.27,3295.41,1238071.92,5312.5,108315.91,2,1,4.47229551850433,0.09153480659523514
42,105030.5,3290.86,520453.41,3942.88,327806.9,3,0,4.986592180366655,0.6334181881967165
24,46666.15,4987.8,892919.79,18698.85,403537.56,1,0,19.2410899549245,0.4702443151813482
65,36972.06,3727.74,117948.4,9079.68,424731.96,1,0,3.2910294963277678,3.5652682171852494
49,26263.14,3576.77,210488.51,6226.56,53287.71,0,0,8.150787758051779,0.2780179578026021
69,150128.79,623.39,700025.06,4140.92,12802.94,2,0,4.666982595410247,0.02418307757181569
55,287122.28,397.56,250880.72,15789.44,282805.11,0,0,0.8751612030943748,1.1882975388977555
70,63251.04,2199.7,495320.34,19842.94,217439.02,0,0,7.865800151270241,0.4769284933155791
33,341966.25,3460.56,621046.15,61537.71,53822.71,2,1,1.8262232310937119,0.18472217100410174
66,156213.39,2675.34,1646375.26,20226.48,138505.19,0,0,10.55639724610035,0.09625633909818225
28,94158.33,95.99,390594.19,48129.6,366623.71,1,1,4.149289606134688,1.0615886184069987
74,38120.11,1946.76,69403.24,22574.57,103486.66,3,0,1.8717154803593168,1.766775938669395
65,91644.67,1128.11,240786.0,10116.64,149754.48,2,0,2.6396964493406982,0.6608562813624994
64,247618.12,9451.63625,1703777.63,32999.38,299423.42,3,0,6.918836417342963,0.19403276170670442
43,37071.94,1109.81,356463.1,28886.88,100367.49,3,0,9.645378957777767,0.36147595332109106
22,481365.87,3210.86,1099619.74,51208.12,171502.63,3,1,2.2910444398561123,0.20194447638243226
51,127957.23,953.95,399714.66,5475.55,227763.5,1,0,3.13126980007304,0.5821231363167274
75,137103.46,396.71,952802.25,50526.44,163641.75,2,0,6.952406306886785,0.2246833812288452
50,84376.77,2511.63,619021.39,20749.74,95313.47,2,0,7.366162748348864,0.186736697051595
34,59749.61,848.89,582923.56,7175.54,195736.99,1,0,9.77031398196574,0.34758780139795664
73,93315.7,4268.59,458715.34,30058.95,0.0,2,0,4.961479472371745,0.06492425142217911
63,143176.05,2916.55,865089.01,19395.6,216815.07,3,0,6.062505286324075,0.27213005164384935
77,282572.6,4963.57,126525.55,14326.61,128275.25,2,0,0.46532862705018113,1.0845062731709423
66,85918.91,4196.21,173599.5,8139.74,378131.88,1,0,2.0693431748610402,2.1725464998761788
73,61641.57,2050.56,62056.98,4504.64,56231.55,2,0,1.0400049836498324,0.9473962439325556
70,69503.13,444.55,246308.75,28797.84,175453.15,3,0,3.550247305409123,0.8277504789176926
55,42693.61,1582.8,551527.19,8208.36,182723.42,2,0,12.955334299442,0.34519614227878576
85,172604.84,813.96,291661.48,57941.64,185976.6,3,1,1.6944799462170355,0.833975687067307
34,216551.65,5461.91,117004.83,6291.81,676745.8987499999,0,0,0.5655313178172505,5.577286792015595
81,140652.04,2813.37,70599.97,19839.64,142071.01,2,0,0.5219500549014433,2.2054362948710025
81,61720.63,3899.15,218864.95,6251.31,118885.66,1,0,3.6092324397855307,0.5617440523672693
47,45492.89,3284.7,938754.7,25014.99,328123.9,3,0,20.707398452813173,0.37486597177785586
41,363577.73,5129.75,731052.74,51434.35,354622.06,1,1,2.024828335882949,0.5515695686139335
52,40912.44,4062.15,90456.75,26186.4,119517.24,2,0,2.3102728656613976,1.541512845443129
73,204136.69,7.11,898207.28,38722.25,109621.71,2,0,4.400063457480377,0.16515410629960373
31,52754.1,2723.07,561273.75,21393.4,204564.8,0,0,10.691051880327784,0.4006366549430989
17,125007.58,7798.24,1361520.44,29763.12,659812.78,0,0,10.95388519640169,0.5035901477732359
81,66270.49,1723.47,227862.0,3225.47,33107.2,0,0,3.4643695859197656,0.1582526618402208
64,59368.37,587.97,730796.04,30367.35,110458.4,2,0,12.319422109786743,0.19254667251110327
47,155282.28,2345.36,400838.5,22415.11,46246.05,1,0,2.596457625428993,0.17029696998047
22,273718.71,4825.92,569916.36,37893.28,451747.28,1,1,2.099755182975983,0.8519291604418585
58,30131.15,10.12,205066.72,11408.21,93293.02,0,0,6.806140489161549,0.5105438500815106
30,352767.12,2354.69,321637.3,18067.5,92108.2,0,0,0.9184302380561998,0.3400558141705473
66,230627.76,7191.01,1583634.29,33204.18,676745.8987499999,2,0,6.897804930334492,0.44627755949848197
28,132987.89,2065.57,632022.22,15488.38,79712.55,3,0,4.768011508416292,0.1501381691355875
79,408054.76,6233.94,1143817.65,66808.24,336297.13,2,1,2.8183756268398876,0.35051037970359256
81,397666.92,1042.75,483400.01,41829.06,597988.3,3,1,1.2182123672746026,1.3207257742364151
70,127187.15,2059.75,277278.4,30942.37,58671.94,0,0,2.196276510638064,0.3208082719518549
40,55548.39,1919.54,244695.4,7374.9,45084.94,3,0,4.43964154496647,0.21271877235510406
57,90398.53,1192.51,721798.22,8791.2,73869.8,1,1,7.997815119338776,0.11433187486114123
51,88518.57,964.3,631312.79,7891.84,112847.17,3,0,7.142875105189793,0.19095871248677931
48,235108.2,6791.72,94868.88,27598.14,387921.01,2,1,0.43239921023596795,4.087277300376937
45,242843.25,1898.13,992141.23,11390.62,500401.32,1,0,4.093337410037133,0.5148603221704198
39,88405.39,1863.76,399897.77,15785.68,124959.16,3,0,4.544536594431629,0.3503184829107881
65,83318.53,1644.11,83782.98,12440.52,79890.07,3,0,1.0253072155737746,1.080798950321844
78,33648.25,1240.75,703436.66,7178.76,30324.47,1,0,20.942468330448094,0.05322034770442308
34,280981.59,8968.02,1008926.0,47111.34,676745.8987499999,2,0,3.6226359883578136,0.7111315258718919
53,170220.87,608.19,61733.82,29354.82,368212.19,2,1,0.3662418715166948,6.3770903907270435
22,59538.68,2064.66,137346.3,13632.06,222460.4,2,0,2.3415191603172927,1.6934878470971932
17,140111.66,1892.17,353092.37,21047.88,140688.55,2,0,2.533583143615599,0.4556141357194437
50,100505.78,1413.2,55287.77,45279.99,32837.58,0,0,0.5641563102141985,1.3776870539065929
48,407658.87,288.36,413765.28,46110.6,440667.71,2,1,1.0156865714708967,1.1756378578440758
65,218227.83,1760.51,901417.14,6990.74,270691.94,1,0,4.138691430877538,0.30745044737273186
26,131425.91,2478.51,191480.31,19634.79,66426.26,1,0,1.4758035154559705,0.4437055571612718
38,177985.98,1237.24,931663.01,14040.98,576086.32,1,0,5.241425476321225,0.6325720969931168
52,81564.54,3697.43,916379.23,30304.4,130488.61,2,0,11.280351240870115,0.17476025882423882
28,241251.12,6139.25,328691.19,61785.9,128291.35,0,1,1.3878917536217035,0.5676804125681866
23,86087.84,3563.33,776495.99,1974.32,388016.16,0,0,9.061202139582083,0.49994913213890946
65,280477.31,3296.39,425874.8,53280.0,352168.76,2,1,1.5301458431699877,0.9447228162663569
75,95144.48,1957.51,168791.52,13554.6,30640.14,2,0,1.7946288633875556,0.2588271287565806
75,236297.5,1731.99,360708.1,5771.52,25584.14,3,0,1.53382955807827,0.08651243157888087
33,90635.48,2289.89,780486.52,18348.33,104848.58,2,0,8.636534059288923,0.15738434505921678
72,43925.33,835.73,262499.18,16519.06,435532.89,0,0,5.995058204457427,1.716636177724489
27,80157.37,1.17,0.0,21503.24,121007.56,0,0,1.4596287278387502e-05,65673.1797235023
49,70540.2,1889.51,63478.93,11519.95,391700.83,2,0,0.9266835081272807,6.168337681950465
22,252385.91,1479.88,186590.37,55804.21,585630.11,0,1,0.7451693717767367,3.4105921027270245
50,156566.48,1898.32,331846.7,21752.8,66220.32,0,0,2.1316505295386343,0.2635930160305732
70,75764.58,4635.32,158797.5,15575.04,161495.34,3,0,2.157113785887812,1.0834378098731339
71,204271.89,3318.5,172853.89,44020.04,17675.08,2,0,0.862440691178801,0.3501954523325004
74,201648.22,951.84,107662.16,14404.56,197378.54,3,1,0.5386310873460722,1.9498513096717764
41,315314.03,5872.62,296790.17,44429.6,39376.13,3,1,0.9598773324485433,0.2768938101250896
18,377580.78,4179.45,588087.2,7498.34,79679.49,3,1,1.5685826222404644,0.1471933001912227
63,298532.44,857.64,658958.31,58122.08,660641.46,2,1,2.2101984963510164,1.0893377928530024
49,89771.99,3782.39,785239.04,22998.46,259436.08,1,0,8.789171655880637,0.357955020366151
72,390543.25,9028.34,154049.57,24477.67,226767.77,0,1,0.4175668379878541,1.54063722893414
71,131274.45,4158.72,332987.38,19188.4,331559.38,2,1,2.568253761489764,1.0403404923251602
40,164793.56,4001.21,1705090.3875000002,21262.85,56949.26,1,1,10.371106719825702,0.045762359578647695
79,127005.21,85.58,338482.85,11175.75,67033.44,2,0,2.6657837894996588,0.23099897117114207
47,90051.85,4230.97,187672.49,30906.2,172133.6,0,0,2.1310329549032025,1.0580254361988253
36,125353.08,2478.36,731631.33,15580.8,70116.81,3,0,5.856335480548224,0.11673663272768853
77,46485.8,232.08,512394.01,28551.64,114977.09,3,0,11.027584552702116,0.27998662731616464
46,54599.92,2993.76,551546.35,27873.12,89759.6,3,0,10.156427152274215,0.21212623893655064
